Record Date,Security Type Description,Security Class Description,Securities Sold Count,Gross Sales Amount,Returned Sales Amount,Net Sales Amount,Transactions Month,Source Line Number,Fiscal Year,Fiscal Quarter Number,Calendar Year,Calendar Quarter Number,Calendar Month Number,Calendar Day Number
2023-09-30,Savings Bond,EE,8220,1844619.74,67808.14,1776811.60,202309,1,2023,4,2023,3,09,30
2023-09-30,Savings Bond,I,43369,23490607.10,271503.61,23219103.49,202309,2,2023,4,2023,3,09,30
2023-09-30,Marketable,null,69869,4017581700.00,0.00,4017581700.00,202309,3,2023,4,2023,3,09,30
2023-08-31,Savings Bond,EE,19446,5410199.41,192555.28,5217644.13,202308,1,2023,4,2023,3,08,31
2023-08-31,Marketable,Bond,1966,42419600.00,612500.00,41807100.00,202308,4,2023,4,2023,3,08,31
2023-08-31,Marketable,Note,13584,502323600.00,3078500.00,499245100.00,202308,5,2023,4,2023,3,08,31
2023-08-31,Savings Bond,I,110134,82239136.28,1044654.36,81194481.92,202308,2,2023,4,2023,3,08,31
2023-08-31,Marketable,Bill,329316,19240188800.00,220457100.00,19019731700.00,202308,3,2023,4,2023,3,08,31
2023-07-31,Savings Bond,EE,18374,5155825.73,178096.28,4977729.45,202307,1,2023,4,2023,3,07,31
2023-07-31,Savings Bond,I,113845,94016261.87,1342973.83,92673288.04,202307,2,2023,4,2023,3,07,31
2023-07-31,Marketable,Bill,236382,13967744400.00,197032300.00,13770712100.00,202307,3,2023,4,2023,3,07,31
2023-07-31,Marketable,Bond,589,10209000.00,350300.00,9858700.00,202307,4,2023,4,2023,3,07,31
2023-07-31,Marketable,Note,9932,358367000.00,12055900.00,346311100.00,202307,5,2023,4,2023,3,07,31
2023-06-30,Savings Bond,EE,19611,5447181.51,167965.93,5279215.58,202306,1,2023,3,2023,2,06,30
2023-06-30,Savings Bond,I,125698,115973520.40,1669251.79,114304268.61,202306,2,2023,3,2023,2,06,30
2023-06-30,Marketable,Bill,252904,14363626800.00,234660800.00,14128966000.00,202306,3,2023,3,2023,2,06,30
2023-06-30,Marketable,Bond,752,11947900.00,289300.00,11658600.00,202306,4,2023,3,2023,2,06,30
2023-06-30,Marketable,Note,8829,302915700.00,3121600.00,299794100.00,202306,5,2023,3,2023,2,06,30
2023-05-31,Savings Bond,EE,20483,8147468.47,206079.65,7941388.82,202305,1,2023,3,2023,2,05,31
2023-05-31,Savings Bond,I,151462,230121142.18,3740467.56,226380674.62,202305,2,2023,3,2023,2,05,31
2023-05-31,Marketable,Bill,272626,14803592000.00,206560100.00,14597031900.00,202305,3,2023,3,2023,2,05,31
2023-05-31,Marketable,Bond,1568,39923000.00,141100.00,39781900.00,202305,4,2023,3,2023,2,05,31
2023-05-31,Marketable,Note,12549,441804300.00,3408700.00,438395600.00,202305,5,2023,3,2023,2,05,31
2023-04-30,Savings Bond,EE,18608,9147014.92,209432.21,8937582.71,202304,1,2023,3,2023,2,04,30
2023-04-30,Savings Bond,I,299260,1255009751.81,11213590.14,1243796161.67,202304,2,2023,3,2023,2,04,30
2023-04-30,Marketable,Bill,230710,13421371300.00,163063500.00,13258307800.00,202304,3,2023,3,2023,2,04,30
2023-04-30,Marketable,Bond,192,1693200.00,9154500.00,-7461300.00,202304,4,2023,3,2023,2,04,30
2023-04-30,Marketable,Note,4182,145430400.00,8609600.00,136820800.00,202304,5,2023,3,2023,2,04,30
2023-03-31,Savings Bond,EE,21405,11538931.31,307339.04,11231592.27,202303,1,2023,2,2023,1,03,31
2023-03-31,Savings Bond,I,295592,1171807471.18,11972039.20,1159835431.98,202303,2,2023,2,2023,1,03,31
