Rank,State,Abbreviation,Gun Law Grade,Gun Death Rank,Rate
38,Alabama,AL,F,4,26.4
41,Alaska,AK,F,6,25.2
42,Arizona,AZ,F,17,18.3
50,Arkansas,AR,F,8,23.3
1,California,CA,A,43,9
14,Colorado,CO,B,18,17.8
3,Connecticut,CT,A-,45,6.7
13,Delaware,DE,B,23,16.6
23,Florida,FL,C-,34,14.1
34,Georgia,GA,F,14,20.3
5,Hawaii,HI,A-,49,4.8
48,Idaho,ID,F,25,16.3
8,Illinois,IL,A-,26,16.1
29,Indiana,IN,F,16,18.4
32,Iowa,IA,F,40,11.2
45,Kansas,KS,F,20,17.3
43,Kentucky,KY,F,13,21.1
32,Louisiana,LA,F,2,29.1
27,Maine,ME,F,37,12.6
7,Maryland,MD,A-,29,15.2
6,Massachusetts,MA,A-,50,3.4
16,Michigan,MI,C+,28,15.4
18,Minnesota,MN,C+,42,10
45,Mississippi,MS,F,1,33.9
47,Missouri,MO,F,9,23.2
40,Montana,MT,F,7,25.1
20,Nebraska,NE,C,41,10.3
17,Nevada,NV,C+,15,19.8
26,New Hampshire,NH,F,44,8.3
2,New Jersey,NJ,A,48,5.2
18,New Mexico,NM,C+,3,27.8
4,New York,NY,A-,47,5.4
21,North Carolina,NC,C,21,17.3
37,North Dakota,ND,F,22,16.8
25,Ohio,OH,F,24,16.5
34,Oklahoma,OK,F,12,21.2
11,Oregon,OR,B+,30,14.9
15,Pennsylvania,PA,B-,31,14.8
9,Rhode Island,RI,B+,46,5.6
28,South Carolina,SC,F,11,22.4
44,South Dakota,SD,F,33,14.3
38,Tennessee,TN,F,10,22.8
30,Texas,TX,F,27,15.6
30,Utah,UT,F,35,13.9
22,Vermont,VT,C-,38,11.9
12,Virginia,VA,B,32,14.3
10,Washington,WA,B+,39,11.2
36,West Virginia,WV,F,19,17.3
24,Wisconsin,WI,D+,36,13.5
49,Wyoming,WY,F,5,26.1
,,,,,
GET IN TOUCH,,,,,
"Want to strengthen your state’s gun laws? Our experts routinely partner with lawmakers to craft lifesaving firearm legislation at the state and local levels. We’re also happy to speak with researchers, advocates, and members of the media interested in learning more about evidence-based strategies for preventing gun violence.",,,,,
POLICY ASSISTANCEMEDIA REQUESTS,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
↓3Gun Law Rank Decrease,,,,,
INDIANA,,,,,
View scorecard,,,,,
Compare,,,,,
DEADLIEST STATE,,,,,
"33.9Gun Deaths per 100,000",,,,,
MISSISSIPPI,,,,,
View scorecard,,,,,
Compare,,,,,
